nombre,enlace,link_imagen,precio,valor_nutricional,oferta,precio_por_peso
Cereales rellenos con chocolate y avena Gran Dia caja 500 g,https://www.dia.es/galletas-bollos-y-cereales/cereales/p/37184,https://www.dia.es/product_images/37184/37184_ISO_0_ES.jpg?imwidth=392,"2,00 €",Grasas 12.8g de las cuales saturadas 4.1g Hidratos de Carbono 68g de los cuales azúcares 32.3g Fibra alimentaria 5.2g Proteínas 8.2g Ácido Fólico 200µg Sal 0.64g Hierro 7mg Niacina 16µg Ácido pantoténico 6mg,No disponible,"(4,00 €/KILO)"
Cereales copos de maíz corn flakes Gran Dia caja 500 g,https://www.dia.es/galletas-bollos-y-cereales/cereales/p/66956,https://www.dia.es/product_images/66956/66956_ISO_0_ES.jpg?imwidth=392,"1,45 €",Grasas 1.1g de las cuales saturadas 0.5g Hidratos de Carbono 84g de los cuales azúcares 7.1g Fibra alimentaria 6g Proteínas 6.3g Ácido Fólico 170µg Sal 1.8g Biotina 40µg Hierro 11.9mg Niacina 13.6µg Ácido pantoténico 5.1mg Riboflavinas 1.2mg Tiamina 0.9mg,No disponible,"(2,90 €/KILO)"
Cereales copos de arroz y trigo integral cubiertos de chocolate Gran Dia caja 300 g,https://www.dia.es/galletas-bollos-y-cereales/cereales/p/10545,https://www.dia.es/product_images/10545/10545_ISO_0_ES.jpg?imwidth=392,"1,88 €",Grasas 5.9g de las cuales saturadas 3.4g Hidratos de Carbono 75.4g de los cuales azúcares 27.9g Fibra alimentaria 4.7g Proteínas 7.3g Ácido Fólico 200µg Sal 1.32g Hierro 7mg Niacina 16µg Ácido pantoténico 6mg Riboflavinas 1.4mg Tiamina 1.1mg,No disponible,"(6,27 €/KILO)"
Cereales de pétalos de trigo y chocolate Gran Dia caja 500 g,https://www.dia.es/galletas-bollos-y-cereales/cereales/p/74306,https://www.dia.es/product_images/74306/74306_ISO_0_ES.jpg?imwidth=392,"1,90 €",Grasas 4.4g de las cuales saturadas 1g Hidratos de Carbono 75g de los cuales azúcares 24g Fibra alimentaria 6.4g Proteínas 9.1g Ácido Fólico 170µg Sal 0.34g Biotina 43µg Hierro 12mg Niacina 14µg Ácido pantoténico 5.1mg Riboflavinas 1.2mg Tiamina 0.9mg,No disponible,"(3,80 €/KILO)"
Muesli crujiente con chocolate Gran Dia caja 500 g,https://www.dia.es/galletas-bollos-y-cereales/cereales/p/135900,https://www.dia.es/product_images/135900/135900_ISO_0_ES.jpg?imwidth=392,"2,45 €",Grasas 20g de las cuales saturadas 10.3g Hidratos de Carbono 60.2g de los cuales azúcares 22.6g Fibra alimentaria 7.4g Proteínas 9.4g Ácido Fólico 200µg Sal 0.26g Hierro 7mg Niacina 16µg Ácido pantoténico 6mg Riboflavinas 1.4mg Tiamina 1.1mg,No disponible,"(4,90 €/KILO)"
Cereales de trigo inflado con miel Gran Dia caja 500 g,https://www.dia.es/galletas-bollos-y-cereales/cereales/p/37190,https://www.dia.es/product_images/37190/37190_ISO_0_ES.jpg?imwidth=392,"1,95 €",Grasas 3.5g de las cuales saturadas 1g Hidratos de Carbono 80.7g de los cuales azúcares 40.9g Fibra alimentaria 4.9g Proteínas 7.9g Ácido Fólico 200µg Sal 0.01g Biotina 43µg Hierro 7mg Niacina 16µg Ácido pantoténico 6mg Riboflavinas 1.4mg Tiamina 1.1mg,No disponible,"(3,90 €/KILO)"
Barritas de cereales con chocolate con leche Gran Dia caja 150 g,https://www.dia.es/galletas-bollos-y-cereales/cereales/p/43947,https://www.dia.es/product_images/43947/43947_ISO_0_ES.jpg?imwidth=392,"1,75 €",Grasas 19.3g de las cuales saturadas 8.6g Hidratos de Carbono 60.9g de los cuales azúcares 29.5g Fibra alimentaria 4.4g Proteínas 8.1g Sal 0.28g,No disponible,"(11,67 €/KILO)"
Cereales integrales con chocolate Nestlé Chocapic caja 375 g,https://www.dia.es/galletas-bollos-y-cereales/cereales/p/43106,https://www.dia.es/product_images/43106/43106_ISO_0_ES.jpg?imwidth=392,"3,19 €",Grasas 4.8g de las cuales saturadas 1.3g Hidratos de Carbono 73.6g de los cuales azúcares 22.4g Fibra alimentaria 7.7g Proteínas 8.9g Ácido Fólico 189µg Sal 0.22g Calcio 502mg Hierro 12mg Niacina 15µg Ácido pantoténico 5.7mg Riboflavinas 1.4mg Tiamina 1mg,No disponible,"(8,51 €/KILO)"
Cereales de arroz inflado con chocolate Gran Dia caja 500 g,https://www.dia.es/galletas-bollos-y-cereales/cereales/p/37199,https://www.dia.es/product_images/37199/37199_ISO_0_ES.jpg?imwidth=392,"2,10 €",Grasas 3g de las cuales saturadas 1.2g Hidratos de Carbono 79g de los cuales azúcares 25.9g Fibra alimentaria 4.2g Proteínas 7.5g Ácido Fólico 170µg Sal 0.65g Biotina 43µg Hierro 12mg Niacina 14µg Ácido pantoténico 5.1mg Riboflavinas 1.2mg Tiamina 0.9mg,No disponible,"(4,20 €/KILO)"
Barritas de cereales con avellanas Gran Dia caja 150 g,https://www.dia.es/galletas-bollos-y-cereales/cereales/p/43948,https://www.dia.es/product_images/43948/43948_ISO_0_ES.jpg?imwidth=392,"1,00 €",Grasas 15g de las cuales saturadas 3g Hidratos de Carbono 64.8g de los cuales azúcares 21.9g Fibra alimentaria 5.1g Proteínas 8.5g Sal 0.25g,No disponible,"(6,67 €/KILO)"
Barritas de cereales plátano y chocolate con leche Gran Dia caja 150 g,https://www.dia.es/galletas-bollos-y-cereales/cereales/p/43949,https://www.dia.es/product_images/43949/43949_ISO_0_ES.jpg?imwidth=392,"1,75 €",Grasas 11.5g de las cuales saturadas 6.3g Hidratos de Carbono 66.5g de los cuales azúcares 27.5g Fibra alimentaria 5.3g Proteínas 6.7g Sal 0.27g,No disponible,"(11,67 €/KILO)"
